Education,Marital_Status,Income,Recency,NumWebVisitsMonth,Complain,Response,Age,Children,TotalSpending,NumOfTransactions,NumOfAcceptedCmp,CVR,AgeGroup,IncomeGroup,SpendingGroup,TransactionGroup
S3,Menikah,65846000.0,68,4,0,0,77,0,1120000,16,0,0.0,71-80,60M-70M,1M-1.5M,10-20
S1,Menikah,87195000.0,35,1,0,1,63,0,1097000,20,0,1.0,61-70,80M-90M,1M-1.5M,10-20
SMA,Bertunangan,24594000.0,94,5,0,0,43,1,29000,5,0,0.0,41-50,20M-30M,0-0.5M,0-10
S1,Menikah,49096000.0,15,7,0,0,58,2,187000,13,0,0.0,51-60,40M-50M,0-0.5M,10-20
S1,Menikah,52413000.0,56,6,0,0,53,2,910000,26,0,0.0,51-60,50M-60M,0.5M-1M,20-30
S1,Lajang,38557000.0,17,7,0,0,44,1,145000,9,0,0.0,41-50,30M-40M,0-0.5M,0-10
S2,Menikah,89058000.0,18,2,0,0,62,0,850000,14,0,0.0,61-70,80M-90M,0.5M-1M,10-20
S1,Bertunangan,77298000.0,46,3,0,0,43,1,969000,24,0,0.0,41-50,70M-80M,0.5M-1M,20-30
S3,Lajang,68126000.0,40,9,0,1,31,0,1820000,17,1,0.1111111111111111,31-40,60M-70M,1.5M-2M,10-20
S2,Bertunangan,57288000.0,27,6,0,0,59,1,608000,20,1,0.0,51-60,50M-60M,0.5M-1M,10-20
S1,Lajang,86037000.0,95,3,0,1,31,0,730000,25,2,0.3333333333333333,31-40,80M-90M,0.5M-1M,20-30
S3,Menikah,43974000.0,19,7,0,0,42,1,551000,21,0,0.0,41-50,40M-50M,0.5M-1M,20-30
S1,Lajang,50785000.0,27,6,0,0,60,2,114000,8,0,0.0,51-60,50M-60M,0-0.5M,0-10
S1,Menikah,90765000.0,25,1,0,0,52,0,1724000,15,2,0.0,51-60,90M-100M,1.5M-2M,10-20
D3,Menikah,36550000.0,74,9,0,0,44,1,577000,20,0,0.0,41-50,30M-40M,0.5M-1M,10-20
D3,Bertunangan,30753000.0,85,5,0,0,55,2,81000,7,0,0.0,51-60,30M-40M,0-0.5M,0-10
S1,Bertunangan,21918000.0,37,6,0,0,53,1,33000,7,0,0.0,51-60,20M-30M,0-0.5M,0-10
S2,Bertunangan,56129000.0,65,4,0,0,69,1,660000,22,0,0.0,61-70,50M-60M,0.5M-1M,20-30
S2,Lajang,32557000.0,13,5,0,1,55,1,80000,9,0,0.2,51-60,30M-40M,0-0.5M,0-10
S2,Menikah,19510000.0,63,7,0,0,37,2,30000,6,0,0.0,31-40,10M-20M,0-0.5M,0-10
S1,Cerai,30992000.0,83,7,0,0,46,1,43000,5,0,0.0,41-50,30M-40M,0-0.5M,0-10
S1,Lajang,101970000.0,69,2,0,1,39,0,1135000,27,3,0.5,31-40,>100M,1M-1.5M,20-30
D3,Bertunangan,71488000.0,87,1,0,0,57,0,559000,16,0,0.0,51-60,70M-80M,0.5M-1M,10-20
S1,Lajang,79607000.0,37,1,0,1,38,0,1923000,16,0,1.0,31-40,70M-80M,1.5M-2M,10-20
S2,Menikah,54348000.0,51,6,0,0,69,2,90000,8,0,0.0,61-70,50M-60M,0-0.5M,0-10
S3,Menikah,51381500.0,23,6,0,0,61,1,404000,17,0,0.0,61-70,50M-60M,0-0.5M,10-20
S3,Bertunangan,77376000.0,72,4,0,0,66,2,661000,23,0,0.0,61-70,70M-80M,0.5M-1M,20-30
S1,Menikah,62998000.0,10,5,0,0,70,1,463000,19,0,0.0,61-70,60M-70M,0-0.5M,10-20
S2,Duda,61331000.0,42,8,0,0,64,2,632000,23,0,0.0,61-70,60M-70M,0.5M-1M,20-30
S1,Menikah,73448000.0,10,4,0,0,53,0,725000,19,0,0.0,51-60,70M-80M,0.5M-1M,10-20
S1,Menikah,51381500.0,96,4,0,0,59,1,725000,19,0,0.0,51-60,50M-60M,0.5M-1M,10-20
S3,Menikah,41551000.0,51,8,0,0,58,2,279000,16,0,0.0,51-60,40M-50M,0-0.5M,10-20
S3,Bertunangan,62981000.0,21,3,0,0,55,0,1482000,23,1,0.0,51-60,60M-70M,1M-1.5M,20-30
SMA,Cerai,9548000.0,31,8,0,0,46,1,29000,6,0,0.0,41-50,0M-10M,0-0.5M,0-10
S3,Menikah,33762000.0,61,8,0,0,63,3,106000,9,0,0.0,61-70,30M-40M,0-0.5M,0-10
S3,Duda,35860000.0,37,5,0,1,49,2,49000,6,1,0.2,41-50,30M-40M,0-0.5M,0-10
S3,Cerai,36921000.0,74,7,0,0,57,2,38000,7,0,0.0,51-60,30M-40M,0-0.5M,0-10
S2,Lajang,92859000.0,46,2,0,0,30,0,2077000,22,0,0.0,20-30,90M-100M,2M-2.5M,20-30
S2,Bertunangan,65104000.0,4,7,0,1,46,1,1053000,17,0,0.14285714285714285,41-50,60M-70M,1M-1.5M,10-20
S1,Menikah,86111000.0,73,2,0,0,60,0,1385000,23,0,0.0,51-60,80M-90M,1M-1.5M,20-30
S3,Lajang,68352000.0,47,6,0,0,48,1,871000,25,0,0.0,41-50,60M-70M,0.5M-1M,20-30
S1,Bertunangan,41883000.0,13,7,0,0,34,1,312000,12,0,0.0,31-40,40M-50M,0-0.5M,10-20
S1,Menikah,59809000.0,36,8,0,0,46,2,877000,15,0,0.0,41-50,50M-60M,0.5M-1M,10-20
S1,Menikah,23957000.0,47,6,0,1,47,1,68000,6,0,0.16666666666666666,41-50,20M-30M,0-0.5M,0-10
S1,Bertunangan,38547000.0,49,8,1,0,41,1,22000,4,0,0.0,41-50,30M-40M,0-0.5M,0-10
D3,Menikah,35688000.0,94,8,0,0,49,3,211000,16,0,0.0,41-50,30M-40M,0-0.5M,10-20
S2,Menikah,49605000.0,65,3,0,0,56,0,127000,8,0,0.0,51-60,40M-50M,0-0.5M,0-10
S2,Menikah,59354000.0,59,3,0,0,69,2,459000,16,0,0.0,61-70,50M-60M,0-0.5M,10-20
S1,Menikah,65747000.0,96,6,0,0,53,1,460000,19,1,0.0,51-60,60M-70M,0-0.5M,10-20
D3,Bertunangan,46344000.0,28,7,0,0,50,1,429000,17,0,0.0,41-50,40M-50M,0-0.5M,10-20
S1,Duda,34176000.0,12,6,0,0,34,1,89000,11,0,0.0,31-40,30M-40M,0-0.5M,10-20
S3,Bertunangan,61010000.0,57,5,0,0,70,1,1021000,26,0,0.0,61-70,60M-70M,1M-1.5M,20-30
S1,Bertunangan,69372000.0,10,4,0,1,73,0,1381000,21,2,0.25,71-80,60M-70M,1M-1.5M,20-30
S1,Lajang,49967000.0,4,7,0,0,64,1,306000,15,0,0.0,61-70,40M-50M,0-0.5M,10-20
S1,Lajang,60199000.0,49,4,0,0,44,3,18000,4,0,0.0,41-50,60M-70M,0-0.5M,0-10
S1,Bertunangan,55375000.0,3,2,0,0,45,1,162000,9,0,0.0,41-50,50M-60M,0-0.5M,0-10
S1,Lajang,80317000.0,64,1,0,0,67,0,1231000,18,0,0.0,61-70,80M-90M,1M-1.5M,10-20
S2,Lajang,30523000.0,0,7,0,0,64,3,13000,4,0,0.0,61-70,30M-40M,0-0.5M,0-10
S3,Menikah,70356000.0,20,6,0,0,77,0,1706000,27,0,0.0,71-80,70M-80M,1.5M-2M,20-30
S1,Menikah,23228000.0,91,8,0,0,38,1,121000,11,0,0.0,31-40,20M-30M,0-0.5M,10-20
S3,Cerai,74165000.0,9,2,0,0,47,0,1293000,20,0,0.0,41-50,70M-80M,1M-1.5M,10-20
S3,Menikah,157243000.0,98,0,0,0,49,1,1608000,37,0,0.0,41-50,>100M,1.5M-2M,30-40
S1,Bertunangan,43482000.0,83,6,0,0,56,3,88000,9,0,0.0,51-60,40M-50M,0-0.5M,0-10
S1,Cerai,62551000.0,27,3,0,0,69,0,421000,18,1,0.0,61-70,60M-70M,0-0.5M,10-20
S1,Cerai,52332000.0,63,4,0,0,63,0,259000,12,1,0.0,61-70,50M-60M,0-0.5M,10-20
S1,Lajang,66951000.0,46,1,0,0,34,0,1117000,15,0,0.0,31-40,60M-70M,1M-1.5M,10-20
S1,Bertunangan,26091000.0,84,5,0,0,65,2,89000,9,0,0.0,61-70,20M-30M,0-0.5M,0-10
S1,Bertunangan,33456000.0,58,7,0,0,57,2,36000,6,0,0.0,51-60,30M-40M,0-0.5M,0-10
S1,Menikah,28718000.0,78,8,0,0,40,1,57000,7,0,0.0,31-40,20M-30M,0-0.5M,0-10
S1,Menikah,50447000.0,4,6,0,0,52,2,148000,8,0,0.0,51-60,50M-60M,0-0.5M,0-10
S3,Bertunangan,53537000.0,17,5,0,0,63,2,93000,8,0,0.0,61-70,50M-60M,0-0.5M,0-10
S1,Lajang,52074000.0,77,4,0,0,55,1,119000,7,1,0.0,51-60,50M-60M,0-0.5M,0-10
S3,Menikah,80427000.0,56,5,0,0,47,1,1835000,28,0,0.0,41-50,80M-90M,1.5M-2M,20-30
S3,Menikah,83837000.0,79,4,0,1,74,0,1318000,25,2,0.25,71-80,80M-90M,1M-1.5M,20-30
S3,Menikah,38853000.0,90,7,0,0,52,2,45000,7,0,0.0,51-60,30M-40M,0-0.5M,0-10
S1,Bertunangan,38285000.0,96,2,0,0,63,3,10000,4,0,0.0,61-70,30M-40M,0-0.5M,0-10
S3,Menikah,51650000.0,81,5,0,0,46,1,191000,10,0,0.0,41-50,50M-60M,0-0.5M,0-10
D3,Menikah,16248000.0,77,6,0,0,34,1,57000,9,0,0.0,31-40,10M-20M,0-0.5M,0-10
S2,Menikah,66835000.0,21,2,0,0,76,0,1033000,24,0,0.0,71-80,60M-70M,1M-1.5M,20-30
S2,Menikah,30477000.0,16,6,0,0,38,1,66000,6,0,0.0,31-40,30M-40M,0-0.5M,0-10
SMA,Menikah,28249000.0,80,6,0,0,61,0,43000,6,0,0.0,61-70,20M-30M,0-0.5M,0-10
S1,Menikah,25271000.0,45,9,0,0,39,1,50000,5,0,0.0,31-40,20M-30M,0-0.5M,0-10
S3,Lajang,32303000.0,63,5,0,0,52,1,39000,7,0,0.0,51-60,30M-40M,0-0.5M,0-10
S1,Menikah,61286000.0,34,5,0,0,56,1,608000,18,0,0.0,51-60,60M-70M,0.5M-1M,10-20
S1,Menikah,74068000.0,14,2,0,0,46,0,1581000,24,0,0.0,41-50,70M-80M,1.5M-2M,20-30
S3,Menikah,45759000.0,13,7,0,0,58,2,68000,7,0,0.0,51-60,40M-50M,0-0.5M,0-10
SMA,Bertunangan,24882000.0,52,6,0,0,44,1,80000,5,1,0.0,41-50,20M-30M,0-0.5M,0-10
S3,Bertunangan,66973000.0,98,3,0,0,33,0,1282000,28,0,0.0,31-40,60M-70M,1M-1.5M,20-30
S1,Menikah,38872000.0,93,8,0,0,34,1,91000,8,0,0.0,31-40,30M-40M,0-0.5M,0-10
S1,Menikah,51148000.0,38,6,0,0,49,2,315000,16,0,0.0,41-50,50M-60M,0-0.5M,10-20
S1,Menikah,31353000.0,24,8,0,0,45,2,31000,6,0,0.0,41-50,30M-40M,0-0.5M,0-10
S2,Menikah,69661000.0,80,3,0,0,42,0,834000,23,0,0.0,41-50,60M-70M,0.5M-1M,20-30
S1,Menikah,80067000.0,82,2,0,0,68,0,1600000,17,1,0.0,61-70,80M-90M,1.5M-2M,10-20
S1,Menikah,86718000.0,20,2,0,0,68,0,1270000,17,0,0.0,61-70,80M-90M,1M-1.5M,10-20
S3,Lajang,46854000.0,81,8,0,1,49,2,263000,15,1,0.125,41-50,40M-50M,0-0.5M,10-20
S1,Cerai,69142000.0,50,5,0,0,70,1,535000,19,1,0.0,61-70,60M-70M,0.5M-1M,10-20
S1,Lajang,75922000.0,60,1,0,0,54,0,1295000,18,0,0.0,51-60,70M-80M,1M-1.5M,10-20
S1,Cerai,63693000.0,63,6,0,0,44,1,1150000,29,0,0.0,41-50,60M-70M,1M-1.5M,20-30
S3,Bertunangan,102160000.0,54,4,0,1,45,0,1240000,26,3,0.25,41-50,>100M,1M-1.5M,20-30
S3,Lajang,40637000.0,72,7,0,0,57,2,38000,6,0,0.0,51-60,40M-50M,0-0.5M,0-10
S2,Lajang,18890000.0,5,6,0,1,38,0,35000,4,1,0.16666666666666666,31-40,10M-20M,0-0.5M,0-10
S1,Bertunangan,29604000.0,88,9,0,0,34,1,53000,5,1,0.0,31-40,20M-30M,0-0.5M,0-10
S2,Cerai,48721000.0,50,6,0,0,59,2,293000,17,0,0.0,51-60,40M-50M,0-0.5M,10-20
S1,Menikah,44794000.0,99,6,0,0,56,1,65000,6,0,0.0,51-60,40M-50M,0-0.5M,0-10
S1,Cerai,64497000.0,17,8,0,1,68,1,1804000,29,1,0.125,61-70,60M-70M,1.5M-2M,20-30
S1,Bertunangan,46097000.0,11,4,0,0,66,1,241000,15,0,0.0,61-70,40M-50M,0-0.5M,10-20
S1,Bertunangan,77972000.0,18,1,0,0,68,0,1101000,20,0,0.0,61-70,70M-80M,1M-1.5M,10-20
S3,Menikah,44377000.0,70,8,0,0,54,2,264000,19,0,0.0,51-60,40M-50M,0-0.5M,10-20
S2,Bertunangan,46014000.0,21,7,0,0,48,2,541000,26,0,0.0,41-50,40M-50M,0.5M-1M,20-30
S1,Menikah,70951000.0,66,1,0,0,37,0,1198000,17,0,0.0,31-40,70M-80M,1M-1.5M,10-20
S1,Menikah,41443000.0,79,8,0,0,45,1,482000,20,0,0.0,41-50,40M-50M,0-0.5M,10-20
D3,Lajang,52195000.0,2,8,0,0,44,3,17000,4,0,0.0,41-50,50M-60M,0-0.5M,0-10
S2,Menikah,83790000.0,81,3,0,0,74,0,1615000,25,2,0.0,71-80,80M-90M,1.5M-2M,20-30
S2,Janda,44551000.0,24,7,0,0,68,1,285000,12,0,0.0,61-70,40M-50M,0-0.5M,10-20
S1,Bertunangan,69508000.0,48,6,0,0,42,1,1135000,28,0,0.0,41-50,60M-70M,1M-1.5M,20-30
D3,Bertunangan,45204000.0,93,3,0,0,34,1,114000,7,0,0.0,31-40,40M-50M,0-0.5M,0-10
S1,Menikah,72460000.0,56,1,0,0,53,0,1047000,16,0,0.0,51-60,70M-80M,1M-1.5M,10-20
S3,Bertunangan,77622000.0,3,3,0,0,52,2,714000,22,0,0.0,51-60,70M-80M,0.5M-1M,20-30
S3,Menikah,30732000.0,44,8,0,0,42,1,185000,13,0,0.0,41-50,30M-40M,0-0.5M,10-20
S1,Cerai,63887000.0,38,6,0,0,60,1,1245000,32,0,0.0,51-60,60M-70M,1M-1.5M,30-40
S1,Bertunangan,42011000.0,46,8,0,0,44,1,189000,12,0,0.0,41-50,40M-50M,0-0.5M,10-20
S1,Bertunangan,51369000.0,84,8,0,0,46,1,576000,16,0,0.0,41-50,50M-60M,0.5M-1M,10-20
S1,Cerai,51537000.0,27,8,0,0,70,1,1103000,18,0,0.0,61-70,50M-60M,1M-1.5M,10-20
S3,Menikah,79930000.0,72,2,0,0,50,0,1753000,17,0,0.0,41-50,70M-80M,1.5M-2M,10-20
S3,Bertunangan,34320000.0,66,8,0,0,36,1,17000,4,0,0.0,31-40,30M-40M,0-0.5M,0-10
S1,Lajang,37070000.0,30,7,0,1,56,2,433000,23,0,0.14285714285714285,51-60,30M-40M,0-0.5M,20-30
D3,Cerai,81975000.0,2,7,0,0,60,1,1588000,14,1,0.0,51-60,80M-90M,1.5M-2M,10-20
S1,Bertunangan,38590000.0,65,8,0,0,51,1,22000,4,0,0.0,51-60,30M-40M,0-0.5M,0-10
S1,Lajang,15033000.0,37,3,0,0,71,0,19000,5,0,0.0,71-80,10M-20M,0-0.5M,0-10
S3,Menikah,62745000.0,89,5,0,0,57,1,1117000,29,0,0.0,51-60,60M-70M,1M-1.5M,20-30
